split,name,line,sx,sy,ex,ey,group,row_order_ok,bands,dtype,labeled_frac,nodata_frac,classes
train,f080918t01p00r05rdn_c_sc01_ort_img_Sx_512_Sy_3072_Ex_1024_Ey_3584.tif,f080918t01p00r05rdn_c_sc01_ort_img,512,3072,1024,3584,13,1,224,uint16,0.46766,0.02603,22 29
train,f080918t01p00r05rdn_c_sc01_ort_img_Sx_512_Sy_4096_Ex_1024_Ey_4608.tif,f080918t01p00r05rdn_c_sc01_ort_img,512,4096,1024,4608,14,1,224,uint16,0.4528,0.35822,22 29
train,f080918t01p00r05rdn_c_sc01_ort_img_Sx_512_Sy_4362_Ex_1024_Ey_4874.tif,f080918t01p00r05rdn_c_sc01_ort_img,512,4362,1024,4874,14,1,224,uint16,0.47764,0.46368,2 22 25 29
train,f080918t01p00r05rdn_c_sc01_ort_img_Sx_626_Sy_0_Ex_1138_Ey_512.tif,f080918t01p00r05rdn_c_sc01_ort_img,626,0,1138,512,9,1,224,uint16,0.12282,0.53101,19
train,f080918t01p00r05rdn_c_sc01_ort_img_Sx_626_Sy_1024_Ex_1138_Ey_1536.tif,f080918t01p00r05rdn_c_sc01_ort_img,626,1024,1138,1536,10,1,224,uint16,0.23011,0.33746,29
train,f080918t01p00r05rdn_c_sc01_ort_img_Sx_626_Sy_1536_Ex_1138_Ey_2048.tif,f080918t01p00r05rdn_c_sc01_ort_img,626,1536,1138,2048,11,1,224,uint16,0.3047,0.22852,14 19
train,f080918t01p00r05rdn_c_sc01_ort_img_Sx_626_Sy_2048_Ex_1138_Ey_2560.tif,f080918t01p00r05rdn_c_sc01_ort_img,626,2048,1138,2560,12,1,224,uint16,0.46844,0.15131,14 25
train,f080918t01p00r05rdn_c_sc01_ort_img_Sx_626_Sy_3072_Ex_1138_Ey_3584.tif,f080918t01p00r05rdn_c_sc01_ort_img,626,3072,1138,3584,13,1,224,uint16,0.32949,0.16461,29
train,f080918t01p00r05rdn_c_sc01_ort_img_Sx_626_Sy_3584_Ex_1138_Ey_4096.tif,f080918t01p00r05rdn_c_sc01_ort_img,626,3584,1138,4096,15,1,224,uint16,0.42934,0.38452,2 17 29
train,f080918t01p00r05rdn_c_sc01_ort_img_Sx_626_Sy_4096_Ex_1138_Ey_4608.tif,f080918t01p00r05rdn_c_sc01_ort_img,626,4096,1138,4608,14,1,224,uint16,0.39343,0.58087,2 22 29
train,f080918t01p00r05rdn_c_sc01_ort_img_Sx_626_Sy_4362_Ex_1138_Ey_4874.tif,f080918t01p00r05rdn_c_sc01_ort_img,626,4362,1138,4874,14,1,224,uint16,0.2896,0.68634,2 22 29
train,f080923t01p00r04rdn_c_sc01_ort_img_Sx_321_Sy_2048_Ex_833_Ey_2560.tif,f080923t01p00r04rdn_c_sc01_ort_img,321,2048,833,2560,16,1,224,uint16,0.22644,0.10428,3
train,f080923t01p00r05rdn_c_sc01_ort_img_Sx_0_Sy_2048_Ex_512_Ey_2560.tif,f080923t01p00r05rdn_c_sc01_ort_img,0,2048,512,2560,17,1,224,uint16,0.70655,0.04865,3
train,f080923t01p00r05rdn_c_sc01_ort_img_Sx_0_Sy_2172_Ex_512_Ey_2684.tif,f080923t01p00r05rdn_c_sc01_ort_img,0,2172,512,2684,17,1,224,uint16,0.66982,0.05698,3
train,f080923t01p00r05rdn_c_sc01_ort_img_Sx_0_Sy_512_Ex_512_Ey_1024.tif,f080923t01p00r05rdn_c_sc01_ort_img,0,512,512,1024,18,1,224,uint16,0.83283,0.09915,3
train,f080923t01p00r05rdn_c_sc01_ort_img_Sx_299_Sy_1024_Ex_811_Ey_1536.tif,f080923t01p00r05rdn_c_sc01_ort_img,299,1024,811,1536,19,1,224,uint16,0.26542,0.07693,3
train,f080924t01p00r07rdn_c_sc01_ort_img_Sx_0_Sy_0_Ex_512_Ey_512.tif,f080924t01p00r07rdn_c_sc01_ort_img,0,0,512,512,20,1,224,uint16,0.49387,0.18277,7 10
train,f080924t01p00r07rdn_c_sc01_ort_img_Sx_460_Sy_0_Ex_972_Ey_512.tif,f080924t01p00r07rdn_c_sc01_ort_img,460,0,972,512,20,0,224,uint16,0.45719,0.28873,7 10
train,f080924t01p00r13rdn_c_sc01_ort_img_Sx_431_Sy_1024_Ex_943_Ey_1536.tif,f080924t01p00r13rdn_c_sc01_ort_img,431,1024,943,1536,21,1,224,uint16,0.18388,0.13156,11
train,f090720t01p00r05rdn_b_ort_img_Sx_0_Sy_1024_Ex_512_Ey_1536.tif,f090720t01p00r05rdn_b_ort_img,0,1024,512,1536,22,1,224,uint16,0.58047,0.04956,13 15
train,f090720t01p00r05rdn_b_ort_img_Sx_0_Sy_8192_Ex_512_Ey_8704.tif,f090720t01p00r05rdn_b_ort_img,0,8192,512,8704,23,1,224,uint16,0.31433,0.31357,13 15
train,f090720t01p00r05rdn_b_ort_img_Sx_0_Sy_8662_Ex_512_Ey_9174.tif,f090720t01p00r05rdn_b_ort_img,0,8662,512,9174,23,1,224,uint16,0.33384,0.33258,13 15
train,f090720t01p00r05rdn_b_ort_img_Sx_391_Sy_0_Ex_903_Ey_512.tif,f090720t01p00r05rdn_b_ort_img,391,0,903,512,24,1,224,uint16,0.12185,0.3562,2 13
train,f090720t01p00r05rdn_b_ort_img_Sx_391_Sy_1536_Ex_903_Ey_2048.tif,f090720t01p00r05rdn_b_ort_img,391,1536,903,2048,25,1,224,uint16,0.14433,0.28311,2 15
train,f090720t01p00r05rdn_b_ort_img_Sx_391_Sy_5120_Ex_903_Ey_5632.tif,f090720t01p00r05rdn_b_ort_img,391,5120,903,5632,26,1,224,uint16,0.27388,0.14926,15
train,f090720t01p00r05rdn_b_ort_img_Sx_391_Sy_512_Ex_903_Ey_1024.tif,f090720t01p00r05rdn_b_ort_img,391,512,903,1024,27,1,224,uint16,0.12385,0.32278,2 15
train,f090720t01p00r05rdn_b_ort_img_Sx_391_Sy_8192_Ex_903_Ey_8704.tif,f090720t01p00r05rdn_b_ort_img,391,8192,903,8704,23,1,224,uint16,0.51972,0.03217,9 13 15
train,f090720t01p00r06rdn_b_ort_img_Sx_0_Sy_1536_Ex_512_Ey_2048.tif,f090720t01p00r06rdn_b_ort_img,0,1536,512,2048,28,1,224,uint16,0.53737,0.07031,9 13 19
train,f090720t01p00r06rdn_b_ort_img_Sx_0_Sy_2048_Ex_512_Ey_2560.tif,f090720t01p00r06rdn_b_ort_img,0,2048,512,2560,29,1,224,uint16,0.62716,0.0881,9 13 15
train,f090720t01p00r06rdn_b_ort_img_Sx_307_Sy_1536_Ex_819_Ey_2048.tif,f090720t01p00r06rdn_b_ort_img,307,1536,819,2048,28,1,224,uint16,0.42988,0.11966,2 13 15
train,f090720t01p00r06rdn_b_ort_img_Sx_307_Sy_2048_Ex_819_Ey_2560.tif,f090720t01p00r06rdn_b_ort_img,307,2048,819,2560,29,1,224,uint16,0.52124,0.10208,13
train,f090724t01p00r05rdn_b_ort_img_Sx_0_Sy_3072_Ex_512_Ey_3584.tif,f090724t01p00r05rdn_b_ort_img,0,3072,512,3584,30,1,224,uint16,0.52451,0.1832,7 9
train,f090724t01p00r05rdn_b_ort_img_Sx_0_Sy_4608_Ex_512_Ey_5120.tif,f090724t01p00r05rdn_b_ort_img,0,4608,512,5120,31,1,224,uint16,0.4851,0.27332,7 9
train,f090724t01p00r05rdn_b_ort_img_Sx_0_Sy_5120_Ex_512_Ey_5632.tif,f090724t01p00r05rdn_b_ort_img,0,5120,512,5632,32,1,224,uint16,0.02813,0.30136,8
train,f090724t01p00r05rdn_b_ort_img_Sx_0_Sy_512_Ex_512_Ey_1024.tif,f090724t01p00r05rdn_b_ort_img,0,512,512,1024,33,1,224,uint16,0.6071,0.04227,7 9
train,f090724t01p00r05rdn_b_ort_img_Sx_431_Sy_2048_Ex_943_Ey_2560.tif,f090724t01p00r05rdn_b_ort_img,431,2048,943,2560,34,1,224,uint16,0.46226,0.28027,7 9
train,f090724t01p00r05rdn_b_ort_img_Sx_431_Sy_4608_Ex_943_Ey_5120.tif,f090724t01p00r05rdn_b_ort_img,431,4608,943,5120,31,1,224,uint16,0.54435,0.14206,7 9
train,f090724t01p00r05rdn_b_ort_img_Sx_431_Sy_5632_Ex_943_Ey_6144.tif,f090724t01p00r05rdn_b_ort_img,431,5632,943,6144,35,1,224,uint16,0.75054,0.09485,7 9
train,f090724t01p00r06rdn_b_ort_img_Sx_0_Sy_0_Ex_512_Ey_512.tif,f090724t01p00r06rdn_b_ort_img,0,0,512,512,36,0,224,uint16,0.553,0.21457,7 9
train,f090724t01p00r06rdn_b_ort_img_Sx_0_Sy_2048_Ex_512_Ey_2560.tif,f090724t01p00r06rdn_b_ort_img,0,2048,512,2560,37,1,224,uint16,0.62658,0.11047,7 9
train,f090724t01p00r06rdn_b_ort_img_Sx_305_Sy_0_Ex_817_Ey_512.tif,f090724t01p00r06rdn_b_ort_img,305,0,817,512,36,1,224,uint16,0.5075,0.26718,7 9
train,f090724t01p00r06rdn_b_ort_img_Sx_305_Sy_1024_Ex_817_Ey_1536.tif,f090724t01p00r06rdn_b_ort_img,305,1024,817,1536,38,1,224,uint16,0.70218,0.13492,7 9
train,f090724t01p00r06rdn_b_ort_img_Sx_305_Sy_2048_Ex_817_Ey_2560.tif,f090724t01p00r06rdn_b_ort_img,305,2048,817,2560,37,1,224,uint16,0.59015,0.08328,7 9
train,f100710t01p00r08rdn_b_sc01_ort_img_Sx_466_Sy_5632_Ex_978_Ey_6144.tif,f100710t01p00r08rdn_b_sc01_ort_img,466,5632,978,6144,39,1,224,uint16,0.52084,0.27875,5 6
train,f100712t01p00r13rdn_b_sc01_ort_img_Sx_0_Sy_0_Ex_512_Ey_512.tif,f100712t01p00r13rdn_b_sc01_ort_img,0,0,512,512,40,0,224,uint16,0.13931,0.20792,6
train,f100904t01p00r02rdn_b_sc01_ort_img_Sx_0_Sy_2048_Ex_512_Ey_2560.tif,f100904t01p00r02rdn_b_sc01_ort_img,0,2048,512,2560,41,1,224,uint16,0.34989,0.16391,7
train,f100904t01p00r02rdn_b_sc01_ort_img_Sx_0_Sy_2560_Ex_512_Ey_3072.tif,f100904t01p00r02rdn_b_sc01_ort_img,0,2560,512,3072,42,1,224,uint16,0.64409,0.18311,7 10
train,f100904t01p00r02rdn_b_sc01_ort_img_Sx_453_Sy_1536_Ex_965_Ey_2048.tif,f100904t01p00r02rdn_b_sc01_ort_img,453,1536,965,2048,43,1,224,uint16,0.259,0.26691,1 10
train,f100904t01p00r03rdn_b_sc01_ort_img_Sx_0_Sy_1536_Ex_512_Ey_2048.tif,f100904t01p00r03rdn_b_sc01_ort_img,0,1536,512,2048,44,1,224,uint16,0.50232,0.23251,1 5 10
train,f100904t01p00r03rdn_b_sc01_ort_img_Sx_0_Sy_2715_Ex_512_Ey_3227.tif,f100904t01p00r03rdn_b_sc01_ort_img,0,2715,512,3227,45,1,224,uint16,0.29791,0.20166,7
train,f100904t01p00r03rdn_b_sc01_ort_img_Sx_476_Sy_0_Ex_988_Ey_512.tif,f100904t01p00r03rdn_b_sc01_ort_img,476,0,988,512,46,1,224,uint16,0.06438,0.18732,8
train,f100904t01p00r04rdn_b_sc01_ort_img_Sx_0_Sy_1536_Ex_512_Ey_2048.tif,f100904t01p00r04rdn_b_sc01_ort_img,0,1536,512,2048,47,1,224,uint16,0.07801,0.22876,1 5
train,f100904t01p00r04rdn_b_sc01_ort_img_Sx_0_Sy_2048_Ex_512_Ey_2560.tif,f100904t01p00r04rdn_b_sc01_ort_img,0,2048,512,2560,48,1,224,uint16,0.40639,0.2027,1 2 7
train,f100904t01p00r04rdn_b_sc01_ort_img_Sx_0_Sy_2817_Ex_512_Ey_3329.tif,f100904t01p00r04rdn_b_sc01_ort_img,0,2817,512,3329,49,1,224,uint16,0.71379,0.13242,7 10
train,f100904t01p00r05rdn_b_sc01_ort_img_Sx_512_Sy_1024_Ex_1024_Ey_1536.tif,f100904t01p00r05rdn_b_sc01_ort_img,512,1024,1024,1536,50,1,224,uint16,0.43169,0.23911,5 6
train,f100904t01p00r05rdn_b_sc01_ort_img_Sx_512_Sy_512_Ex_1024_Ey_1024.tif,f100904t01p00r05rdn_b_sc01_ort_img,512,512,1024,1024,51,1,224,uint16,0.30158,0.14609,6 10
train,f100904t01p00r05rdn_b_sc01_ort_img_Sx_522_Sy_1024_Ex_1034_Ey_1536.tif,f100904t01p00r05rdn_b_sc01_ort_img,522,1024,1034,1536,50,1,224,uint16,0.41888,0.25864,5 6
train,f100904t01p00r05rdn_b_sc01_ort_img_Sx_522_Sy_512_Ex_1034_Ey_1024.tif,f100904t01p00r05rdn_b_sc01_ort_img,522,512,1034,1024,51,1,224,uint16,0.29729,0.16562,6 10
train,f100904t01p00r06rdn_b_sc01_ort_img_Sx_0_Sy_512_Ex_512_Ey_1024.tif,f100904t01p00r06rdn_b_sc01_ort_img,0,512,512,1024,52,1,224,uint16,0.26864,0.28549,6 10
train,f100904t01p00r07rdn_b_sc01_ort_img_Sx_0_Sy_1536_Ex_512_Ey_2048.tif,f100904t01p00r07rdn_b_sc01_ort_img,0,1536,512,2048,53,1,224,uint16,0.08723,0.29239,6
train,f100904t01p00r08rdn_b_sc01_ort_img_Sx_443_Sy_512_Ex_955_Ey_1024.tif,f100904t01p00r08rdn_b_sc01_ort_img,443,512,955,1024,54,1,224,uint16,0.02724,0.24954,8
train,f100906t01p00r05rdn_b_sc01_ort_img_Sx_0_Sy_0_Ex_512_Ey_512.tif,f100906t01p00r05rdn_b_sc01_ort_img,0,0,512,512,55,1,224,uint16,0.18439,0.11234,5
train,f100906t01p00r05rdn_b_sc01_ort_img_Sx_311_Sy_0_Ex_823_Ey_512.tif,f100906t01p00r05rdn_b_sc01_ort_img,311,0,823,512,55,1,224,uint16,0.2989,0.07199,5 10
train,f100906t01p00r06rdn_b_sc01_ort_img_Sx_468_Sy_0_Ex_980_Ey_512.tif,f100906t01p00r06rdn_b_sc01_ort_img,468,0,980,512,56,0,224,uint16,0.29675,0.2388,5 10
train,f100906t01p00r08rdn_b_sc01_ort_img_Sx_0_Sy_1536_Ex_512_Ey_2048.tif,f100906t01p00r08rdn_b_sc01_ort_img,0,1536,512,2048,57,1,224,uint16,0.1952,0.14859,1 7
train,f100906t01p00r08rdn_b_sc01_ort_img_Sx_0_Sy_2048_Ex_512_Ey_2560.tif,f100906t01p00r08rdn_b_sc01_ort_img,0,2048,512,2560,58,1,224,uint16,0.39641,0.0878,7
train,f100908t01p00r01rdn_b_sc01_ort_img_Sx_0_Sy_1024_Ex_512_Ey_1536.tif,f100908t01p00r01rdn_b_sc01_ort_img,0,1024,512,1536,59,1,224,uint16,0.01649,0.22989,8
train,f100908t01p00r02rdn_b_sc01_ort_img_Sx_347_Sy_10240_Ex_859_Ey_10752.tif,f100908t01p00r02rdn_b_sc01_ort_img,347,10240,859,10752,60,1,224,uint16,0.27021,0.13599,6
train,f100908t01p00r03rdn_b_sc01_ort_img_Sx_0_Sy_11264_Ex_512_Ey_11776.tif,f100908t01p00r03rdn_b_sc01_ort_img,0,11264,512,11776,61,1,224,uint16,0.68381,0.13327,5 6
train,f100908t01p00r03rdn_b_sc01_ort_img_Sx_410_Sy_11264_Ex_922_Ey_11776.tif,f100908t01p00r03rdn_b_sc01_ort_img,410,11264,922,11776,61,1,224,uint16,0.24307,0.19324,2 6
train,f100910t01p00r02rdn_b_sc01_ort_img_Sx_0_Sy_512_Ex_512_Ey_1024.tif,f100910t01p00r02rdn_b_sc01_ort_img,0,512,512,1024,62,1,224,uint16,0.11596,0.28558,7
train,f100910t01p00r02rdn_b_sc01_ort_img_Sx_452_Sy_0_Ex_964_Ey_512.tif,f100910t01p00r02rdn_b_sc01_ort_img,452,0,964,512,63,0,224,uint16,0.16623,0.228,1 5
train,f100910t01p00r04rdn_b_sc01_ort_img_Sx_0_Sy_0_Ex_512_Ey_512.tif,f100910t01p00r04rdn_b_sc01_ort_img,0,0,512,512,64,0,224,uint16,0.03005,0.49896,8
train,f100910t01p00r04rdn_b_sc01_ort_img_Sx_494_Sy_1536_Ex_1006_Ey_2048.tif,f100910t01p00r04rdn_b_sc01_ort_img,494,1536,1006,2048,65,1,224,uint16,0.1819,0.27579,7
train,f100910t01p00r08rdn_b_sc01_ort_img_Sx_436_Sy_0_Ex_948_Ey_512.tif,f100910t01p00r08rdn_b_sc01_ort_img,436,0,948,512,66,1,224,uint16,0.29338,0.10242,7
train,f100910t01p00r08rdn_b_sc01_ort_img_Sx_436_Sy_1024_Ex_948_Ey_1536.tif,f100910t01p00r08rdn_b_sc01_ort_img,436,1024,948,1536,67,1,224,uint16,0.0914,0.21948,8
train,f100910t01p00r08rdn_b_sc01_ort_img_Sx_436_Sy_1536_Ex_948_Ey_2048.tif,f100910t01p00r08rdn_b_sc01_ort_img,436,1536,948,2048,68,1,224,uint16,0.07342,0.28641,2 8
train,f100910t01p00r08rdn_b_sc01_ort_img_Sx_436_Sy_512_Ex_948_Ey_1024.tif,f100910t01p00r08rdn_b_sc01_ort_img,436,512,948,1024,69,1,224,uint16,0.02715,0.15109,8
train,f100914t01p00r08rdn_b_sc01_ort_img_Sx_512_Sy_0_Ex_1024_Ey_512.tif,f100914t01p00r08rdn_b_sc01_ort_img,512,0,1024,512,70,1,224,uint16,0.27802,0.18918,5 7
train,f100930t01p00r13rdn_b_sc01_ort_img_Sx_383_Sy_0_Ex_895_Ey_512.tif,f100930t01p00r13rdn_b_sc01_ort_img,383,0,895,512,71,0,224,uint16,0.57643,0.22501,5 6
train,f100930t01p00r14rdn_b_sc01_ort_img_Sx_512_Sy_7168_Ex_1024_Ey_7680.tif,f100930t01p00r14rdn_b_sc01_ort_img,512,7168,1024,7680,72,1,224,uint16,0.5245,0.22156,5 6
train,f110505t01p00r05rdn_c_sc01_ort_img_Sx_512_Sy_2560_Ex_1024_Ey_3072.tif,f110505t01p00r05rdn_c_sc01_ort_img,512,2560,1024,3072,73,1,224,uint16,0.65544,0.11835,5 6
train,f110513t01p00r02rdn_c_sc01_ort_img_Sx_428_Sy_6144_Ex_940_Ey_6656.tif,f110513t01p00r02rdn_c_sc01_ort_img,428,6144,940,6656,74,1,224,uint16,0.51063,0.19089,7 10
train,f110513t01p00r03rdn_c_sc01_ort_img_Sx_0_Sy_7168_Ex_512_Ey_7680.tif,f110513t01p00r03rdn_c_sc01_ort_img,0,7168,512,7680,75,1,224,uint16,0.7728,0.09366,7 9
train,f110712t01p00r05rdn_c_sc01_ort_img_Sx_0_Sy_7168_Ex_512_Ey_7680.tif,f110712t01p00r05rdn_c_sc01_ort_img,0,7168,512,7680,76,1,224,uint16,0.11667,0.11664,4
train,f110712t01p00r05rdn_c_sc01_ort_img_Sx_448_Sy_6144_Ex_960_Ey_6656.tif,f110712t01p00r05rdn_c_sc01_ort_img,448,6144,960,6656,77,1,224,uint16,0.12485,0.21832,4
train,f110712t01p00r07rdn_c_sc01_ort_img_Sx_0_Sy_6144_Ex_512_Ey_6656.tif,f110712t01p00r07rdn_c_sc01_ort_img,0,6144,512,6656,78,1,224,uint16,0.07879,0.21786,4
train,f110712t01p00r16rdn_c_sc01_ort_img_Sx_0_Sy_2048_Ex_512_Ey_2560.tif,f110712t01p00r16rdn_c_sc01_ort_img,0,2048,512,2560,79,1,224,uint16,0.14121,0.1839,4
train,f110712t01p00r17rdn_c_sc01_ort_img_Sx_0_Sy_1536_Ex_512_Ey_2048.tif,f110712t01p00r17rdn_c_sc01_ort_img,0,1536,512,2048,80,1,224,uint16,0.1405,0.11816,4
train,f110712t01p00r20rdn_c_sc01_ort_img_Sx_0_Sy_6144_Ex_512_Ey_6656.tif,f110712t01p00r20rdn_c_sc01_ort_img,0,6144,512,6656,81,1,224,uint16,0.13684,0.18005,4
train,f110712t01p00r21rdn_c_sc01_ort_img_Sx_512_Sy_8704_Ex_1024_Ey_9216.tif,f110712t01p00r21rdn_c_sc01_ort_img,512,8704,1024,9216,82,1,224,uint16,0.1034,0.0,4
train,f110712t01p00r21rdn_c_sc01_ort_img_Sx_966_Sy_7680_Ex_1478_Ey_8192.tif,f110712t01p00r21rdn_c_sc01_ort_img,966,7680,1478,8192,83,1,224,uint16,0.1032,0.53491,4
train,f110928t01p00r02rdn_c_sc01_ort_img_Sx_0_Sy_10752_Ex_512_Ey_11264.tif,f110928t01p00r02rdn_c_sc01_ort_img,0,10752,512,11264,84,1,224,uint16,0.6024,0.2475,2 7 10
train,f110928t01p00r02rdn_c_sc01_ort_img_Sx_501_Sy_11776_Ex_1013_Ey_12288.tif,f110928t01p00r02rdn_c_sc01_ort_img,501,11776,1013,12288,85,1,224,uint16,0.60239,0.18158,7 10
train,f110928t01p00r04rdn_c_sc01_ort_img_Sx_0_Sy_7680_Ex_512_Ey_8192.tif,f110928t01p00r04rdn_c_sc01_ort_img,0,7680,512,8192,86,1,224,uint16,0.02182,0.18164,23
train,f110928t01p00r05rdn_c_sc01_ort_img_Sx_0_Sy_10683_Ex_512_Ey_11195.tif,f110928t01p00r05rdn_c_sc01_ort_img,0,10683,512,11195,87,1,224,uint16,0.02188,0.09912,20
train,f110928t01p00r05rdn_c_sc01_ort_img_Sx_0_Sy_1536_Ex_512_Ey_2048.tif,f110928t01p00r05rdn_c_sc01_ort_img,0,1536,512,2048,88,1,224,uint16,0.49551,0.12396,6 7
train,f110928t01p00r05rdn_c_sc01_ort_img_Sx_0_Sy_2560_Ex_512_Ey_3072.tif,f110928t01p00r05rdn_c_sc01_ort_img,0,2560,512,3072,89,1,224,uint16,0.48988,0.13184,6 7
train,f110928t01p00r05rdn_c_sc01_ort_img_Sx_0_Sy_3072_Ex_512_Ey_3584.tif,f110928t01p00r05rdn_c_sc01_ort_img,0,3072,512,3584,90,1,224,uint16,0.02015,0.16556,23
train,f110928t01p00r06rdn_c_sc01_ort_img_Sx_512_Sy_5120_Ex_1024_Ey_5632.tif,f110928t01p00r06rdn_c_sc01_ort_img,512,5120,1024,5632,91,1,224,uint16,0.02355,0.23978,20
train,f110928t01p00r06rdn_c_sc01_ort_img_Sx_526_Sy_5120_Ex_1038_Ey_5632.tif,f110928t01p00r06rdn_c_sc01_ort_img,526,5120,1038,5632,91,1,224,uint16,0.02346,0.26712,20
train,f110928t01p00r06rdn_c_sc01_ort_img_Sx_526_Sy_7168_Ex_1038_Ey_7680.tif,f110928t01p00r06rdn_c_sc01_ort_img,526,7168,1038,7680,92,1,224,uint16,0.01647,0.29941,23
train,f110928t01p00r07rdn_c_sc01_ort_img_Sx_0_Sy_2560_Ex_512_Ey_3072.tif,f110928t01p00r07rdn_c_sc01_ort_img,0,2560,512,3072,93,1,224,uint16,0.02227,0.49948,20
train,f110928t01p00r07rdn_c_sc01_ort_img_Sx_512_Sy_2560_Ex_1024_Ey_3072.tif,f110928t01p00r07rdn_c_sc01_ort_img,512,2560,1024,3072,94,1,224,uint16,0.10793,0.07608,12
train,f110928t01p00r07rdn_c_sc01_ort_img_Sx_516_Sy_1024_Ex_1028_Ey_1536.tif,f110928t01p00r07rdn_c_sc01_ort_img,516,1024,1028,1536,95,1,224,uint16,0.02213,0.23062,23
train,f110928t01p00r08rdn_c_sc01_ort_img_Sx_0_Sy_5632_Ex_512_Ey_6144.tif,f110928t01p00r08rdn_c_sc01_ort_img,0,5632,512,6144,96,1,224,uint16,0.02599,0.22418,23
train,f110928t01p00r08rdn_c_sc01_ort_img_Sx_0_Sy_9131_Ex_512_Ey_9643.tif,f110928t01p00r08rdn_c_sc01_ort_img,0,9131,512,9643,97,1,224,uint16,0.10901,0.23892,19
train,f110928t01p00r08rdn_c_sc01_ort_img_Sx_466_Sy_6656_Ex_978_Ey_7168.tif,f110928t01p00r08rdn_c_sc01_ort_img,466,6656,978,7168,98,1,224,uint16,0.01709,0.25528,20
train,f110928t01p00r08rdn_c_sc01_ort_img_Sx_466_Sy_8704_Ex_978_Ey_9216.tif,f110928t01p00r08rdn_c_sc01_ort_img,466,8704,978,9216,99,1,224,uint16,0.01884,0.23154,17
train,f110929t01p00r10rdn_c_sc01_ort_img_Sx_306_Sy_3584_Ex_818_Ey_4096.tif,f110929t01p00r10rdn_c_sc01_ort_img,306,3584,818,4096,100,1,224,uint16,0.28303,0.16946,6 22
